iter	Passed	Remaining
536	25615	22085
537	25656	22032
538	25705	21985
539	25756	21940
540	25805	21894
541	25859	21852
542	25910	21807
543	25957	21758
544	26007	21712
545	26059	21668
546	26106	21619
547	26155	21573
548	26201	21524
549	26250	21478
550	26304	21435
551	26355	21389
552	26398	21338
553	26449	21293
554	26501	21248
555	26551	21202
556	26602	21157
557	26649	21109
558	26702	21065
559	26754	21021
560	26806	20977
561	26858	20932
562	26909	20887
563	26955	20837
564	27004	20791
565	27056	20746
566	27104	20699
567	27146	20646
568	27193	20598
569	27245	20553
570	27296	20508
571	27351	20465
572	27400	20418
573	27451	20373
574	27502	20328
575	27553	20282
576	27600	20234
577	27651	20188
578	27705	20144
579	27756	20099
580	27802	20050
581	27844	19998
582	27891	19949
583	27936	19900
584	27989	19856
585	28042	19811
586	28092	19765
587	28144	19720
588	28195	19674
589	28245	19628
590	28300	19585
591	28350	19538
592	28403	19494
593	28451	19446
594	28498	19398
595	28543	19348
596	28595	19302
597	28646	19257
598	28697	19211
599	28747	19165
600	28794	19116
601	28846	19071
602	28895	19024
603	28947	18978
604	29000	18934
605	29050	18887
606	29099	18840
607	29149	18794
608	29205	18750
609	29250	18701
610	29298	18653
611	29349	18607
612	29402	18562
613	29451	18515
614	29498	18466
615	29549	18420
616	29603	18376
617	29650	18327
618	29698	18279
619	29741	18228
620	29790	18181
621	29842	18135
622	29892	18088
623	29946	18044
624	29992	17995
625	30043	17949
626	30097	17904
627	30150	17860
628	30196	17810
629	30247	17764
630	30297	17717
631	30346	17670
632	30393	17621
633	30439	17572
634	30488	17524
635	30545	17481
636	30592	17433
637	30641	17385
638	30691	17338
639	30744	17293
640	30799	17249
641	30850	17203
642	30904	17158
643	30956	17112
644	31007	17066
645	31058	17019
646	31109	16973
647	31162	16927
648	31218	16883
649	31268	16836
650	31318	16789
651	31371	16744
652	31421	16697
653	31472	16650
654	31540	16612
655	31592	16566
656	31644	16520
657	31685	16468
658	31724	16416
659	31775	16369
660	31829	16323
661	31874	16274
662	31927	16228
663	31970	16177
664	32012	16126
665	32062	16079
666	32113	16032
667	32162	15985
668	32207	15935
669	32254	15886
670	32308	15841
671	32359	15794
672	32412	15748
673	32467	15703
674	32515	15655
675	32567	15609
676	32617	15562
677	32669	15515
678	32720	15468
679	32769	15421
680	32818	15373
681	32868	15325
682	32914	15276
683	32960	15227
684	33008	15179
685	33057	15131
686	33108	15084
687	33162	15038
688	33211	14990
689	33247	14937
690	33293	14888
691	33349	14843
692	33404	14798
693	33453	14750
694	33497	14700
695	33546	14652
696	33592	14603
697	33644	14556
698	33695	14509
699	33747	14463
700	33796	14415
701	33846	14367
702	33898	14321
703	33943	14271
704	33994	14224
705	34059	14183
706	34113	14137
707	34164	14090
708	34213	14042
709	34267	13996
710	34320	13950
711	34372	13903
712	34420	13854
713	34472	13808
714	34521	13760
715	34577	13715
716	34623	13665
717	34674	13618
718	34721	13569
719	34774	13523
720	34821	13474
721	34869	13426
722	34921	13379
723	34976	13333
724	35026	13285
725	35070	13235
726	35124	13189
727	35178	13143
728	35231	13097
729	35280	13048
730	35327	13000
731	35379	12953
732	35431	12905
733	35485	12859
734	35539	12813
735	35577	12761
736	35625	12713
737	35678	12666
738	35727	12618
739	35781	12571
740	35830	12523
741	35882	12476
742	35937	12430
743	35990	12383
744	36041	12336
745	36087	12287
746	36141	12240
747	36191	12192
748	36237	12143
749	36284	12094
750	36334	12046
751	36385	11999
752	36439	11952
753	36482	11902
754	36528	11853
755	36568	11802
756	36623	11756
757	36675	11708
758	36726	11661
759	36774	11612
760	36822	11564
761	36871	11516
762	36923	11469
763	36968	11419
764	37017	11371
765	37063	11322
766	37111	11273
767	37165	11227
768	37210	11177
769	37254	11127
770	37303	11079
771	37356	11032
772	37410	10985
773	37458	10937
774	37502	10887
775	37546	10838
776	37599	10791
777	37648	10742
778	37698	10695
779	37751	10647
780	37801	10600
781	37853	10552
782	37906	10505
783	37949	10455
784	37998	10407
785	38039	10356
786	38087	10308
787	38139	10260
788	38191	10213
789	38246	10166
790	38293	10117
791	38344	10070
792	38423	10029
793	38462	9978
794	38499	9927
795	38535	9875
796	38571	9824
797	38612	9774
798	38650	9723
799	38687	9671
800	38735	9623
801	38782	9574
802	38833	9526
803	38884	9479
804	38934	9431
805	38986	9383
806	39038	9336
807	39086	9287
808	39133	9239
809	39176	9189
810	39221	9140
811	39272	9092
812	39325	9045
813	39376	8997
814	39428	8950
815	39479	8902
816	39526	8853
817	39576	8805
818	39629	8758
819	39681	8710
820	39728	8661
821	39779	8614
822	39831	8566
823	39880	8518
824	39931	8470
825	39981	8422
826	40034	8374
827	40084	8326
828	40138	8279
829	40189	8231
830	40234	8182
831	40279	8133
832	40334	8086
833	40386	8038
834	40435	7990
835	40484	7942
836	40531	7893
837	40579	7844
838	40637	7798
839	40680	7748
840	40729	7700
841	40771	7650
842	40821	7602
843	40876	7555
844	40930	7507
845	40974	7458
846	41027	7411
847	41075	7362
848	41128	7315
849	41176	7266
850	41212	7215
851	41244	7164
852	41292	7116
853	41345	7068
854	41394	7020
855	41439	6971
856	41490	6923
857	41544	6875
858	41596	6827
859	41644	6779
860	41696	6731
861	41749	6683
862	41799	6635
863	41843	6586
864	41891	6537
865	41942	6489
866	41991	6441
867	42042	6393
868	42089	6344
869	42136	6296
870	42189	6248
871	42234	6199
872	42286	6151
873	42343	6104
874	42394	6056
875	42446	6008
876	42501	5960
877	42553	5912
878	42600	5864
879	42655	5816
880	42693	5766
881	42741	5718
882	42794	5670
883	42843	5622
884	42896	5574
885	42943	5525
886	42994	5477
887	43046	5429
888	43096	5381
889	43147	5332
890	43201	5285
891	43251	5236
892	43300	5188
893	43349	5139
894	43401	5091
895	43452	5043
896	43503	4995
897	43552	4946
898	43603	4898
899	43655	4850
900	43709	4802
901	43758	4754
902	43798	4704
903	43843	4655
904	43894	4607
905	43940	4558
906	43987	4510
907	44037	4461
908	44088	4413
909	44140	4365
910	44191	4317
911	44240	4268
912	44291	4220
913	44337	4171
914	44385	4123
915	44433	4074
916	44477	4025
917	44524	3977
918	44577	3929
919	44628	3880
920	44681	3832
921	44726	3783
922	44779	3735
923	44830	3687
924	44881	3639
925	44929	3590
926	44979	3542
927	45033	3494
928	45084	3445
929	45137	3397
930	45186	3348
931	45232	3300
932	45267	3250
933	45311	3201
934	45343	3152
935	45377	3102
936	45422	3054
937	45463	3005
938	45499	2955
939	45544	2907
940	45593	2858
941	45633	2809
942	45667	2760
943	45707	2711
944	45743	2662
945	45794	2614
946	45867	2567
947	45906	2518
948	45954	2469
949	46003	2421
950	46053	2372
951	46106	2324
952	46151	2276
953	46199	2227
954	46250	2179
955	46298	2130
956	46349	2082
957	46397	2034
958	46446	1985
959	46502	1937
960	46552	1889
961	46603	1840
962	46653	1792
963	46705	1744
964	46754	1695
965	46806	1647
966	46855	1599
967	46906	1550
968	46952	1502
969	47004	1453
970	47053	1405
971	47105	1356
972	47157	1308
973	47209	1260
974	47265	1211
975	47315	1163
976	47365	1115
977	47401	1066
978	47449	1017
979	47500	969
980	47550	920
981	47600	872
982	47637	823
983	47677	775
984	47714	726
985	47759	678
986	47803	629
987	47851	581
988	47898	532
989	47952	484
990	48000	435
991	48051	387
992	48102	339
993	48156	290
994	48205	242
995	48246	193
996	48283	145
997	48327	96
998	48370	48
999	48425	0
