iter	Logloss	Accuracy
359	0.3828580868	0.8234391778
360	0.3827651115	0.8235925755
361	0.3825753339	0.8240527688
362	0.3823810584	0.8237459733
363	0.3821895827	0.8238993711
364	0.3821466431	0.8238993711
365	0.3819938175	0.8243595644
366	0.3819405075	0.8242061666
367	0.3819039066	0.8240527688
368	0.3817964232	0.8237459733
369	0.3817347073	0.8238993711
370	0.3815060133	0.8237459733
371	0.3813953858	0.8242061666
372	0.3813018323	0.8238993711
373	0.3811647763	0.8240527688
374	0.3810710656	0.8243595644
375	0.3807707678	0.8246663599
376	0.3806684205	0.8248197576
377	0.3805756273	0.8248197576
378	0.3804354621	0.8248197576
379	0.3803619707	0.8246663599
380	0.3802419218	0.8251265532
381	0.3801399706	0.8252799509
382	0.3800331582	0.8254333487
383	0.3799118776	0.8255867464
384	0.3797990799	0.8255867464
385	0.3797233841	0.8255867464
386	0.3794679474	0.8260469397
387	0.3793644125	0.8262003375
388	0.3793015912	0.8263537352
389	0.3791204425	0.826507133
390	0.3789083524	0.8263537352
391	0.3788658291	0.826507133
392	0.378740337	0.8268139285
393	0.3786568559	0.8266605308
394	0.378606634	0.8266605308
395	0.3785375075	0.827120724
396	0.3784558426	0.8269673263
397	0.3784030192	0.8266605308
398	0.3783084404	0.8266605308
399	0.3782109915	0.8268139285
400	0.378152919	0.8268139285
401	0.3780574348	0.8269673263
402	0.3778776126	0.8269673263
403	0.3778056736	0.827120724
404	0.3777221046	0.8268139285
405	0.3776034204	0.8274275196
406	0.3774378231	0.8274275196
407	0.3772752521	0.8275809173
408	0.3771844938	0.8278877128
409	0.3770907469	0.8277343151
410	0.3770210879	0.8277343151
411	0.3768307776	0.8277343151
412	0.3766227269	0.8278877128
413	0.3765498994	0.8277343151
414	0.3764768598	0.8277343151
415	0.376286864	0.8278877128
416	0.3762075	0.8278877128
417	0.3761483973	0.8278877128
418	0.3760543878	0.8275809173
419	0.3760198343	0.8275809173
420	0.3758922975	0.8277343151
421	0.375759316	0.8277343151
422	0.3755397365	0.8272741218
423	0.375434114	0.8274275196
424	0.3753622101	0.8274275196
425	0.375081687	0.8278877128
426	0.3749339185	0.8278877128
427	0.3747945829	0.8280411106
428	0.3747854061	0.8280411106
429	0.3747114354	0.8280411106
430	0.374507492	0.8288080994
431	0.3744087728	0.8288080994
432	0.3742387309	0.8288080994
433	0.3740926955	0.8289614972
434	0.3739473696	0.8292682927
435	0.3738696461	0.8291148949
436	0.3737785494	0.8294216904
437	0.3736890466	0.8291148949
438	0.3736463527	0.8294216904
439	0.3735922918	0.8294216904
440	0.3735047849	0.8291148949
441	0.3733029191	0.8292682927
442	0.3732426932	0.8294216904
443	0.3730497487	0.829728486
444	0.3729529655	0.8295750882
445	0.3728004436	0.8298818837
446	0.3726099314	0.829728486
447	0.3724918442	0.8298818837
448	0.3723850181	0.8298818837
449	0.372212425	0.8298818837
450	0.3720878848	0.829728486
451	0.3718237947	0.829728486
452	0.3716834431	0.8300352815
453	0.3716477079	0.8298818837
454	0.3714971377	0.8300352815
455	0.3714542846	0.8300352815
456	0.3712605217	0.8300352815
